Kecamatan,Kelurahan,Jumlah Kepala Keluarga
Andir,Campaka,5908
Andir,Ciroyom,6457
Andir,Dungus Cariang,6199
Andir,Garuda,3518
Andir,Kebon Jeruk,4165
Andir,Maleber,6626
Antapani,Antapani Kidul,8103
Antapani,Antapani Kulon,3461
Antapani,Antapani Tengah,7704
Antapani,Antapani Wetan,6023
Arcamanik,Cisaranten Bina Harapan,3836
Arcamanik,Sindanglaya/Cisantren Endah,6173
Arcamanik,Cisaranten Kulon,7677
Arcamanik,Sukamiskin,6982
Astana Anyar,Cibadak,4514
Astana Anyar,Karanganyar,2375
Astana Anyar,Karasak,4441
Astana Anyar,Nyengseret,3970
Astana Anyar,Panjunan,2426
Astana Anyar,Pelindung Hewan,6371
Babakan Ciparay,Babakan,9530
Babakan Ciparay,Babakan Ciparay,10538
Babakan Ciparay,Cirangrang,3632
Babakan Ciparay,Margahayu Utara,7141
Babakan Ciparay,Margasuka,3782
Babakan Ciparay,Sukahaji,9743
Bandung Kidul,Batununggal,6362
Bandung Kidul,Kujangsari,7084
Bandung Kidul,Mengger,3487
Bandung Kidul,Wates,2598
Bandung Kulon,Caringin,2995
Bandung Kulon,Cibuntu,5863
Bandung Kulon,Cigondewah Kaler,6023
Bandung Kulon,Cigondewah Kidul,2826
Bandung Kulon,Cigondewah Rahayu,3166
Bandung Kulon,Cijerah,7746
Bandung Kulon,Gempolsari,6791
Bandung Kulon,Warung Muncang,6605
Bandung Wetan,Cihapit,1466
Bandung Wetan,Citarum,829
Bandung Wetan,Tamansari,7708
Batununggal,Binong,6096
Batununggal,Cibangkong,5997
Batununggal,Gumuruh,6310
Batununggal,Kacapiring,3087
Batununggal,Kebongedang,3264
Batununggal,Kebonwaru,4830
Batununggal,Maleer,5785
Batununggal,Samoja,4263
Bojongloa Kaler,Babakan Asih,5216
Bojongloa Kaler,Babakan Tarogong,9122
Bojongloa Kaler,Jamika,9031
Bojongloa Kaler,Kopo,9740
Bojongloa Kaler,Suka Asih,6111
Bojongloa Kidul,Cibaduyut,3980
Bojongloa Kidul,Cibaduyut Kidul,2818
Bojongloa Kidul,Cibaduyut Wetan,2608
Bojongloa Kidul,Kebon Lega,7759
Bojongloa Kidul,Mekarwangi,3418
Bojongloa Kidul,Situsaeur,6945
Buahbatu,Cijaura,9063
Buahbatu,Jatisari,2940
Buahbatu,Margasari,12728
Buahbatu,Sekejati,8120
Cibeunying Kaler,Cigadung,10180
Cibeunying Kaler,Cihaur Geulis,4212
Cibeunying Kaler,Neglasari,3146
Cibeunying Kaler,Sukaluyu,5305
Cibeunying Kidul,Cicadas,5163
Cibeunying Kidul,Cikutra,7618
Cibeunying Kidul,Padasuka,5731
Cibeunying Kidul,Pasirlayung,7233
Cibeunying Kidul,Sukamaju,3840
Cibeunying Kidul,Sukapada,7217
Cibiru,Pasir Biru,4939
Cibiru,Palasari,6936
Cibiru,Cisurupan,4439
Cibiru,Cipadung,7190
Cicendo,Arjuna,4530
Cicendo,Husen Sastranegara,5247
Cicendo,Pajajaran,8344
Cicendo,Pamoyanan,2805
Cicendo,Pasir Kaliki,3187
Cicendo,Sukaraja,7522
Cidadap,Ciumbuleuit,7500
Cidadap,Hegarmanah,6719
Cidadap,Ledeng,3479
Cinambo,Babakan Penghulu,2339
Cinambo,Pakemitan,2157
Cinambo,Sukamulya,1793
Cinambo,Cisaranten Wetan,1907
Coblong,Cipaganti,3978
Coblong,Dago,11381
Coblong,Lebakgede,3768
Coblong,Lebak Siliwangi,1372
Coblong,Sadangserang,8679
Coblong,Sekeloa,8898
Gedebage,Cimenerang,1306
Gedebage,Cisantren Kidul,6790
Gedebage,Rancabolang,3324
Gedebage,Rancanumpang,1445
Kiaracondong,Babakansari,12454
Kiaracondong,Babakan Surabaya,6646
Kiaracondong,Cicaheum,5673
Kiaracondong,Kebon Jayanti,4345
Kiaracondong,Kebon Kangkung,4233
Kiaracondong,Sukapura,8997
Lengkong,Burangrang,3352
Lengkong,Cijagra,3891
Lengkong,Cikawao,3062
Lengkong,Lingkar Selatan,3443
Lengkong,Malabar,2886
Lengkong,Paledang,2177
Lengkong,Turangga,4918
Mandalajati,Jatihandap,8415
Mandalajati,Karang Pamulang,5874
Mandalajati,Pasir Impun,4117
Mandalajati,Sindang Jaya,4669
Panyileukan,Mekar Mulya,2325
Panyileukan,Cipadung Wetan,1119
Panyileukan,Cipadung Kulon,4267
Panyileukan,Cipadung Kidul,4769
Rancasari,Cipamokolan,7741
Rancasari,Derwati,5989
Rancasari,Munjahlega,7365
Rancasari,Mekarmulya,5936
Regol,Ancol,3873
Regol,Balonggede,2887
Regol,Ciateul,2589
Regol,Cigereleng,4049
Regol,Ciseureuh,5374
Regol,Pasirluyu,5398
Regol,Pungkur,2629
Sukajadi,Cipedes,9545
Sukajadi,Pasteur,6071
Sukajadi,Sukabungah,7094
Sukajadi,Sukagalih,5996
Sukajadi,Sukawarna,4569
Sukasari,Gegerkalong,7762
Sukasari,Isola,4436
Sukasari,Sarijadi,8967
Sukasari,Sukarasa,4346
Sumur Bandung,Babakan Ciamis,2759
Sumur Bandung,Braga,2123
Sumur Bandung,Kebon Pisang,4018
Sumur Bandung,Merdeka,3457
Ujung Berung,Cigending,5367
Ujung Berung,Pasanggrahan,6425
Ujung Berung,Pasir Endah,5312
Ujung Berung,Pasirwangi,5341
Ujung Berung,Pasirjati,5511
